node_id,node_type,value,source,first_seen,last_seen,confidence,attrs_json
asn:48c5e1f7cb7a440c9357,ASN,11042,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""US"",""organization"":""NETWORK TRANSIT HOLDINGS LLC""}"
asn:0cb9f3882b2c7005265f,ASN,12488,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""GB"",""organization"":""Krystal Hosting LTD""}"
asn:67494671b159d0e290fe,ASN,12876,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""FR"",""organization"":""Scaleway""}"
asn:0f354f612fac5fd13f12,ASN,131965,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""JP"",""organization"":""Xserver Inc.""}"
asn:0b2af36cd884bab8175c,ASN,132335,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""IN"",""organization"":""Leapswitch""}"
asn:58534c284a0d9c351fd1,ASN,133296,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""IN"",""organization"":""Standard Wings Technologies""}"
asn:63489673e68be4be79d4,ASN,13335,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""US"",""organization"":""Cloudflare, Inc.""}"
asn:d44640952dbb17c8d222,ASN,133618,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""US"",""organization"":""Trellian Pty. Limited""}"
asn:9c9cf8e62e4d22af6dd9,ASN,134175,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""HK"",""organization"":""Hongkong Service""}"
asn:7957400975b1cce7bbb1,ASN,135097,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""HK"",""organization"":""Cloudfly Net INC""}"
asn:ebd51475098b4898d464,ASN,135161,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""TH"",""organization"":""GMO Internet Pte. Ltd.""}"
asn:6ce75cb09b129a93b313,ASN,135444,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""ID"",""organization"":""Pt Jetorbit Teknologi Indonesia""}"
asn:c83d2b862a7f2562b662,ASN,135682,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""IN"",""organization"":""Advika Web Developments Hosting Pvt LTD""}"
asn:8a11f6c506e74e91b7b8,ASN,135752,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""IN"",""organization"":""Evoke Digital Solutions""}"
asn:83f7b3dcbaf1eee7510d,ASN,135905,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""VN"",""organization"":""Inet Software One Member Company Limited""}"
asn:66070dc342572e5f2e84,ASN,136038,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""HK"",""organization"":""Ip Transit""}"
asn:3a9433c3bb4a911c33e7,ASN,136170,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""ID"",""organization"":""PT. EXABYTES NETWORK INDONESIA""}"
asn:16f455c36e1a12598ce9,ASN,136727,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""MY"",""organization"":""Jimat Technology Solution""}"
asn:d73e621a6f565cc98407,ASN,138115,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""ID"",""organization"":""Pt Delta Neva Angkas""}"
asn:54f87f76395678e7cc2f,ASN,138148,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""MY"",""organization"":""MULTI DOMAIN RESOURCES AND SERVICES""}"
asn:0d1cca1157a7b116fec7,ASN,138415,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""HK"",""organization"":""YANCY LIMITED""}"
asn:546360c484a0a29f0442,ASN,140443,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""ID"",""organization"":""Cogent Communications""}"
asn:81c71a78fae204282c26,ASN,14061,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""GB"",""organization"":""DIGITALOCEAN""}"
asn:f6e7128cddd07380c0ae,ASN,140869,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""US"",""organization"":""TURING GROUP LIMITED""}"
asn:164fdd0a1ae85d5916f8,ASN,141004,historical_infra_ipintel,,2026-07-20T09:21:41Z,0.4500,"{""country"":""IN"",""organization"":""WEBNOX TECHNOLOGIES""}"
