dga_family,family_display_name,current_model_supported,association_rows,named_actor_rows,strongest_attribution_status,max_confidence,actor_names,family_context_source_name,family_context_source_url,notes
alureon,Alureon,true,1,1,reported_operator,0.35,TDSS/TDL4 operators,Local current model family list,experiments/dga_detection/models/family_sequence_gru_public_sources_user_approved/model_dga_family_sequence_gru_metrics.json,Named actor association available.
bamital,Bamital,true,1,0,unknown_actor,0.20,,DGArchive bamital_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/bamital_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
banjori,Banjori,true,1,0,unknown_actor,0.10,,DGArchive banjori_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/banjori_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
bazarbackdoor,BazarBackdoor,true,1,1,possible_actor,0.70,UNC1878,DGArchive bazarbackdoor_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/bazarbackdoor_dga,Named actor association available.
bedep,Bedep,true,1,0,unknown_actor,0.10,,DGArchive bedep_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/bedep_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
bigviktor,BigViktor,true,1,0,unknown_actor,0.20,,DGArchive bigviktor_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/bigviktor_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
blackhole,Blackhole,true,1,0,unknown_actor,0.10,,DGArchive blackhole,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/blackhole_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
ccleaner,CCleaner Backdoor,true,1,1,possible_actor,0.50,Axiom / Group 72,DGArchive ccleaner_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/ccleaner_dga,Named actor association available.
chinad,Chinad,true,1,0,unknown_actor,0.10,,DGArchive chinad_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/chinad_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
conficker,Conficker,true,1,0,unknown_actor,0.20,,DGArchive conficker_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/conficker_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
corebot,CoreBot,true,1,1,possible_actor,0.65,BOSON SPIDER,DGArchive corebot_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/corebot_dga,Named actor association available.
cryptolocker,CryptoLocker,true,1,1,possible_actor,0.65,GameOver Zeus operators,DGArchive cryptolocker_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/cryptolocker_dga,Named actor association available.
dircrypt,DirCrypt,true,1,0,unknown_actor,0.10,,DGArchive dircrypt_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/dircrypt_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
dnschanger,DNSChanger,true,1,0,unknown_actor,0.10,,DGArchive dnschanger_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/dnschanger_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
dyre,Dyre,true,1,1,possible_actor,0.75,WIZARD SPIDER,DGArchive dyre_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/dyre_dga,Named actor association available.
ebury,Ebury,true,1,1,confirmed_actor,0.85,Windigo,DGArchive ebury_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/ebury_dga,Named actor association available.
ekforward,EKForward,true,1,0,unknown_actor,0.10,,DGArchive ekforward_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/ekforward_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
emotet,Emotet,true,3,3,confirmed_actor,0.85,GOLD CABIN;MUMMY SPIDER;Mealybug,DGArchive emotet_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/emotet_dga,Named actor association available.
enviserv,Enviserv,true,1,0,unknown_actor,0.15,,DGArchive enviserv_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/enviserv_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
flubot,FluBot,true,1,1,reported_operator,0.65,FluBot operators,DGArchive flubot_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/flubot_dga,Named actor association available.
fobber,Fobber,true,1,0,unknown_actor,0.10,,DGArchive fobber_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/fobber_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
gameover,GameOver Zeus,true,1,1,reported_operator,0.80,GameOver Zeus operators,DGArchive gameover_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/gameover_dga,Named actor association available.
gozi,Gozi,true,1,1,possible_actor,0.55,GOLD CABIN,DGArchive gozi_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/gozi_dga,Named actor association available.
infy,Infy,true,1,1,confirmed_actor,0.85,Infy,DGArchive infy_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/infy_dga,Named actor association available.
kraken,Kraken,true,1,0,unknown_actor,0.10,,Local current model family list,experiments/dga_detection/models/family_sequence_gru_public_sources_user_approved/model_dga_family_sequence_gru_metrics.json,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
locky,Locky,true,1,1,possible_actor,0.70,TA505,DGArchive locky_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/locky_dga,Named actor association available.
matsnu,Matsnu,true,1,1,possible_actor,0.45,Avalanche network operators,DGArchive matsnu_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/matsnu_dga,Named actor association available.
monerodownloader,MoneroDownloader,true,1,0,shared_tool,0.25,,Local current model family list,experiments/dga_detection/models/family_sequence_gru_public_sources_user_approved/model_dga_family_sequence_gru_metrics.json,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
murofet,Murofet,true,1,0,unknown_actor,0.10,,DGArchive murofet_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/murofet_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
mydoom,MyDoom,true,1,0,unknown_actor,0.20,,DGArchive mydoom_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/mydoom_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
necro,Necro,true,2,2,possible_actor,0.65,Freak/Fl0urite;Keksec,Local current model family list,experiments/dga_detection/models/family_sequence_gru_public_sources_user_approved/model_dga_family_sequence_gru_metrics.json,Named actor association available.
necurs,Necurs,true,3,3,reported_operator,0.70,MONTY SPIDER;Necurs operators;TA505,DGArchive necurs_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/necurs_dga,Named actor association available.
newgoz,NewGOZ,true,1,1,possible_actor,0.50,GameOver Zeus operators,Local current model family list,experiments/dga_detection/models/family_sequence_gru_public_sources_user_approved/model_dga_family_sequence_gru_metrics.json,Named actor association available.
ngioweb,Ngioweb,true,1,0,unknown_actor,0.15,,DGArchive ngioweb_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/ngioweb_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
nymaim,Nymaim,true,1,1,possible_actor,0.45,NARWHAL SPIDER,DGArchive nymaim_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/nymaim_dga,Named actor association available.
oderoor,Oderoor,true,1,0,unknown_actor,0.10,,DGArchive oderoor_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/oderoor_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
padcrypt,PadCrypt,true,1,0,unknown_actor,0.10,,DGArchive padcrypt_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/padcrypt_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
pandabanker,PandaBanker,true,3,2,confirmed_actor,0.85,BAMBOO SPIDER;TA544,DGArchive pandabanker_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/pandabanker_dga,Named actor association available.
pizd,Pizd,true,1,0,unknown_actor,0.10,,Local current model family list,experiments/dga_detection/models/family_sequence_gru_public_sources_user_approved/model_dga_family_sequence_gru_metrics.json,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
proslikefan,Proslikefan,true,1,0,unknown_actor,0.15,,DGArchive proslikefan_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/proslikefan_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
pushdo,Pushdo,true,2,2,possible_actor,0.60,NARWHAL SPIDER;TIDAL SPIDER,DGArchive pushdo_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/pushdo_dga,Named actor association available.
pykspa,Pykspa,true,1,0,unknown_actor,0.10,,DGArchive pykspa_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/pykspa_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
qadars,Qadars,true,1,1,possible_actor,0.45,FIN7,DGArchive qadars_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/qadars_dga,Named actor association available.
qakbot,QakBot,true,3,3,possible_actor,0.75,GOLD CABIN;TA570;TA577,DGArchive qakbot_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/qakbot_dga,Named actor association available.
qsnatch,QSnatch,true,1,0,unknown_actor,0.20,,DGArchive qsnatch_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/qsnatch_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
ramdo,Ramdo,true,1,0,unknown_actor,0.10,,DGArchive ramdo_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/ramdo_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
ramnit,Ramnit,true,1,1,possible_actor,0.55,TA554,DGArchive ramnit_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/ramnit_dga,Named actor association available.
ranbyus,Ranbyus,true,1,0,unknown_actor,0.10,,DGArchive ranbyus_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/ranbyus_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
rovnix,Rovnix,true,1,0,shared_tool,0.35,,DGArchive rovnix_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/rovnix_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
shifu,Shifu,true,1,0,unknown_actor,0.10,,DGArchive shifu_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/shifu_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
shiotob,Shiotob,true,1,0,unknown_actor,0.10,,Local current model family list,experiments/dga_detection/models/family_sequence_gru_public_sources_user_approved/model_dga_family_sequence_gru_metrics.json,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
simda,Simda,true,1,1,reported_operator,0.45,Simda operators,DGArchive simda_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/simda_dga,Named actor association available.
sisron,Sisron,true,1,0,unknown_actor,0.10,,DGArchive sisron_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/sisron_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
sphinx,Sphinx,true,1,0,unknown_actor,0.10,,DGArchive sphinx_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/sphinx_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
suppobox,Suppobox,true,1,0,unknown_actor,0.10,,DGArchive suppobox_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/suppobox_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
sutra,Sutra,true,1,0,unknown_actor,0.10,,DGArchive sutra,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/sutra_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
symmi,Symmi,true,1,0,unknown_actor,0.10,,DGArchive symmi_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/symmi_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
szribi,Szribi,true,1,0,unknown_actor,0.20,,DGArchive szribi_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/szribi_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
tempedreve,Tempedreve,true,1,0,unknown_actor,0.10,,DGArchive tempedreve_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/tempedreve_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
tinba,Tinba,true,1,1,reported_operator,0.35,Tinba operators,DGArchive tinba_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/tinba_dga,Named actor association available.
tofsee,Tofsee,true,2,2,reported_operator,0.45,PrivateLoader operators;Tofsee operators,DGArchive tofsee_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/tofsee_dga,Named actor association available.
torpig,Torpig,true,1,1,reported_operator,0.45,Torpig/Mebroot operators,DGArchive torpig,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/torpig_dga,Named actor association available.
urlzone,Urlzone,true,2,2,possible_actor,0.75,NARWHAL SPIDER;TA544,DGArchive urlzone_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/urlzone_dga,Named actor association available.
vawtrak,Vawtrak,true,2,1,reported_operator,0.45,Neverquest operators,DGArchive vawtrak_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/vawtrak_dga,Named actor association available.
vidro,Vidro,true,1,0,unknown_actor,0.10,,DGArchive vidro_dga,https://dgarchive.caad.fkie.fraunhofer.de/site/dga/vidro_dga,"Family is recognizable by the current model, but no reliable named actor mapping is stored yet."
